Trip_ID,policyholder_id,vin,Start_Time,End_Time,Start_Location_Lat,Start_Location_Lon,Time_of_Day_Category,Duration_Min,Distance_Miles,Peak_High_Speed,Average_Speed,Peak_Low_Speed,Max_Speed_Limit_Exceeded,Sudden_Braking_Count,Rapid_Acceleration_Count,Harsh_Cornering_Count,Speeding_Incidents,Safety_Score,Braking_Index,Acceleration_Index,Trip_Risk_Level
51_109286_POL4043_1533218100_0006,51,101HGBH41JXMN109286,8/2/2018 13:55,8/2/2018 14:35,27.630244,-65.402197,Afternoon,40.1,24.1,63.69,36.06,0.92,3.22,3,2,0,2,95.34,0.29,0.23,Low
51_109286_POL4043_1515740220_0007,51,101HGBH41JXMN109286,1/12/2018 6:57,1/12/2018 7:19,34.797772,-121.162102,Morning,22.96,13.72,63.49,35.86,8.71,4.81,3,2,2,2,93.94,0.14,0.1,Low
51_109286_POL4043_1516936140_0008,51,101HGBH41JXMN109286,1/26/2018 3:09,1/26/2018 3:32,46.944049,-98.927306,Night,23.55,18.51,56.75,47.17,14.82,4.53,1,1,0,0,90.93,0.27,0.19,Low
51_109286_POL4045_1582663800_0009,51,101HGBH41JXMN109286,2/25/2020 20:50,2/25/2020 21:19,43.684539,-83.549212,Evening,29.32,17.03,47.99,34.85,1.89,0.48,2,2,1,1,98.33,0.29,0.13,Low
51_109286_POL4045_1590982680_0010,51,101HGBH41JXMN109286,6/1/2020 3:38,6/1/2020 4:05,33.260146,-110.890607,Night,27.38,17.05,50.63,37.37,18.13,0.52,1,0,1,1,98.48,0.2,0.26,Low
51_109286_POL4045_1581167640_0011,51,101HGBH41JXMN109286,2/8/2020 13:14,2/8/2020 13:50,31.751138,-79.180716,Afternoon,36.04,22.46,49.79,37.4,5.91,0.32,1,2,2,2,94.27,0.11,0.13,Low
51_109286_POL4045_1579402560_0012,51,101HGBH41JXMN109286,1/19/2020 2:56,1/19/2020 3:53,41.636701,-66.497073,Night,57.09,30.45,59.54,32,9.54,1.44,1,0,1,0,82.52,0.16,0.27,Low
51_109286_POL4045_1588488540_0013,51,101HGBH41JXMN109286,5/3/2020 6:49,5/3/2020 7:30,31.074137,-94.465952,Morning,41.12,31.09,53.34,45.36,12.09,1.84,3,1,0,1,89.61,0.21,0.17,Low
51_109287_POL4042_1514670000_0001,51,102HGBH41JXMN109287,12/30/2017 21:40,12/30/2017 22:38,46.201419,-120.76109,Night,58.27,42.55,58.67,43.81,14.44,3.82,1,2,0,1,92.19,0.21,0.18,Low
51_109287_POL4042_1499464980_0002,51,102HGBH41JXMN109287,7/7/2017 22:03,7/7/2017 22:13,32.385324,-116.764778,Night,10.55,6.79,49.57,38.61,18.44,0.14,1,0,1,1,83.01,0.17,0.12,Low
51_109287_POL4042_1511802180_0003,51,102HGBH41JXMN109287,11/27/2017 17:03,11/27/2017 17:31,46.066838,-66.036065,Evening,28.53,18.44,64.29,38.79,7.53,3.33,1,2,1,1,88.61,0.29,0.13,Low
51_109287_POL4042_1511053620_0004,51,102HGBH41JXMN109287,11/19/2017 1:07,11/19/2017 1:33,30.671329,-79.517788,Night,26.31,18.71,64.86,42.66,6.19,3.03,0,1,1,0,89.95,0.25,0.15,Low
51_109287_POL4044_1550074260_0005,51,102HGBH41JXMN109287,2/13/2019 16:11,2/13/2019 17:02,34.754763,-102.156774,Afternoon,51.96,38.86,60.17,44.87,9.85,3.32,1,2,1,0,83.09,0.1,0.2,Low
51_109287_POL4044_1562411400_0006,51,102HGBH41JXMN109287,7/6/2019 11:10,7/6/2019 11:15,38.817721,-90.981476,Morning,5.11,4.05,63.84,47.59,2.76,0.07,3,2,2,2,95.81,0.28,0.24,Low
51_109287_POL4044_1564897800_0007,51,102HGBH41JXMN109287,8/4/2019 5:50,8/4/2019 5:59,40.075683,-77.953519,Morning,9.04,7.15,54.16,47.45,1.19,1.08,2,2,2,0,96.39,0.13,0.22,Low
51_109287_POL4044_1577381280_0008,51,102HGBH41JXMN109287,12/26/2019 17:28,12/26/2019 17:37,35.497534,-90.547643,Evening,9.87,8.15,59.33,49.55,1.49,1.88,1,2,0,2,87.56,0.14,0.15,Low
51_109287_POL4044_1574316480_0009,51,102HGBH41JXMN109287,11/21/2019 6:08,11/21/2019 6:45,44.645259,-118.213258,Morning,37.56,26.45,56.44,42.25,19.81,0.88,0,1,1,1,95.37,0.25,0.27,Low
52_109288_POL4046_1509742500_0001,52,103HGBH41JXMN109288,11/3/2017 20:55,11/3/2017 21:29,35.426252,-69.556619,Evening,34.78,39.14,97.91,67.52,10.17,37.14,12,10,9,10,49.13,0.88,0.8,High
52_109288_POL4046_1514574300_0002,52,103HGBH41JXMN109288,12/29/2017 19:05,12/29/2017 19:36,25.113924,-120.646526,Evening,31.59,32.62,93.66,61.95,10.93,36.5,16,17,7,6,41.73,0.94,0.88,High
52_109288_POL4046_1492202940_0003,52,103HGBH41JXMN109288,4/14/2017 20:49,4/14/2017 21:16,36.802191,-87.029314,Evening,27.6,32.52,96.51,70.7,9.42,22.31,14,7,11,5,41.81,0.86,0.91,High
52_109288_POL4046_1497789660_0004,52,103HGBH41JXMN109288,6/18/2017 12:41,6/18/2017 13:11,43.876882,-110.227812,Afternoon,30.19,31.72,98.81,63.05,3.56,32.12,17,13,9,14,41.8,0.84,0.78,High
52_109288_POL4048_1552815180_0005,52,103HGBH41JXMN109288,3/17/2019 9:33,3/17/2019 10:12,47.433934,-81.200712,Morning,39.05,43.96,107.55,67.54,1.43,23.75,18,7,9,15,31.85,0.87,0.82,High
52_109288_POL4048_1564645800_0006,52,103HGBH41JXMN109288,8/1/2019 7:50,8/1/2019 8:46,35.914319,-76.876432,Morning,56.47,56.46,95.93,59.99,7.43,19.23,20,18,6,15,42.63,0.7,0.81,High
52_109288_POL4048_1574850600_0007,52,103HGBH41JXMN109288,11/27/2019 10:30,11/27/2019 10:59,44.958315,-113.804823,Morning,29.38,27,99.02,55.13,19.51,21.86,16,16,8,7,28.04,0.78,0.81,High
52_109288_POL4048_1569994620_0008,52,103HGBH41JXMN109288,10/2/2019 5:37,10/2/2019 6:04,31.691684,-93.331403,Morning,27.6,29.69,95.1,64.54,7.25,22.88,8,18,12,13,37.49,0.82,0.73,High
52_109289_POL4047_1528420320_0001,52,104HGBH41JXMN109289,6/8/2018 1:12,6/8/2018 2:01,25.413742,-68.708162,Night,49.51,60.92,96.17,73.83,8.88,30.55,13,11,6,10,49.54,0.76,0.75,High
52_109289_POL4047_1529921160_0002,52,104HGBH41JXMN109289,6/25/2018 10:06,6/25/2018 10:34,32.025278,-83.089594,Morning,28.5,31.62,85.01,66.57,9.88,35.14,8,14,9,15,31.35,0.9,0.78,High
52_109289_POL4047_1518811980_0003,52,104HGBH41JXMN109289,2/16/2018 20:13,2/16/2018 21:05,26.466638,-77.662524,Evening,52.19,59.47,82.66,68.37,3.3,31,12,17,11,8,45.07,0.81,0.8,High
52_109289_POL4047_1522595880_0004,52,104HGBH41JXMN109289,4/1/2018 15:18,4/1/2018 15:49,44.204747,-99.347061,Afternoon,31.11,36.83,80.95,71.03,3.6,37.29,15,18,14,5,43.19,0.87,0.91,High
53_109290_POL4049_1474276440_0001,53,105HGBH41JXMN109290,9/19/2016 9:14,9/19/2016 9:45,33.743826,-98.522615,Morning,31.16,26.56,65.17,51.15,1.18,7.62,3,7,3,5,66.76,0.61,0.61,Medium
53_109290_POL4049_1475036160_0002,53,105HGBH41JXMN109290,9/28/2016 4:16,9/28/2016 5:11,35.806518,-68.459907,Night,55.55,55.36,77.27,59.8,15.68,10.77,3,3,5,5,58.48,0.51,0.52,Medium
53_109290_POL4049_1456329660_0003,53,105HGBH41JXMN109290,2/24/2016 16:01,2/24/2016 16:08,43.811757,-111.516358,Afternoon,7.31,5.69,70.53,46.71,12.73,8.29,3,5,4,3,65.55,0.51,0.52,Medium
53_109290_POL4049_1458238080_0004,53,105HGBH41JXMN109290,3/17/2016 18:08,3/17/2016 19:03,37.923945,-104.22301,Evening,55.12,54.56,75.34,59.39,3.65,14.1,6,7,2,2,66.44,0.38,0.63,Medium
53_109290_POL4051_1530432960_0005,53,105HGBH41JXMN109290,7/1/2018 8:16,7/1/2018 8:34,44.118607,-92.805256,Morning,18.14,14.07,72.62,46.54,7.82,14.62,8,5,4,4,72.95,0.52,0.48,Medium
53_109290_POL4051_1533578940_0006,53,105HGBH41JXMN109290,8/6/2018 18:09,8/6/2018 18:50,44.405839,-84.370657,Evening,41.92,40.46,76.69,57.91,10.26,13.69,4,3,3,4,59.6,0.43,0.48,Medium
53_109290_POL4051_1527852300_0007,53,105HGBH41JXMN109290,6/1/2018 11:25,6/1/2018 11:51,47.259751,-85.591737,Morning,26.31,23.98,67.01,54.69,10.3,6.81,3,7,4,4,56.91,0.41,0.39,Medium
53_109290_POL4051_1528707660_0008,53,105HGBH41JXMN109290,6/11/2018 9:01,6/11/2018 9:45,29.894546,-70.741054,Morning,44.96,35.48,77.99,47.35,12.72,13.62,5,7,6,5,67.1,0.38,0.64,Medium
6_109196_POL2018_1588316220_0004,6,11HGBH41JXMN109196,5/1/2020 6:57,5/1/2020 7:49,35.862391,-87.04025,Morning,52.8,38.17,46.58,43.38,18.85,1.99,0,0,1,1,95.43,0.27,0.24,Low
6_109196_POL2018_1562533860_0005,6,11HGBH41JXMN109196,7/7/2019 21:11,7/7/2019 21:42,37.751131,-89.633762,Night,31.81,23.4,58.78,44.13,15.84,0.09,2,2,0,2,94.3,0.22,0.22,Low
6_109197_POL2017_1507346520_0001,6,12HGBH41JXMN109197,10/7/2017 3:22,10/7/2017 4:21,28.455906,-116.24451,Night,59.82,40.59,46.62,40.71,11.93,0.83,0,2,1,0,85.76,0.11,0.26,Low
6_109197_POL2017_1517630100_0002,6,12HGBH41JXMN109197,2/3/2018 3:55,2/3/2018 4:25,47.654457,-99.384957,Night,30.77,18.44,46.02,35.96,5.98,2.97,3,1,2,0,90.92,0.11,0.12,Low
6_109197_POL2017_1508427660_0003,6,12HGBH41JXMN109197,10/19/2017 15:41,10/19/2017 15:51,41.227101,-84.049512,Afternoon,10.9,8.34,52.35,45.92,15.11,0.71,0,0,0,1,97.59,0.24,0.29,Low
7_109198_POL2019_1453398540_0001,7,13HGBH41JXMN109198,1/21/2016 17:49,1/21/2016 18:37,45.045064,-87.442456,Evening,48.24,48.22,97.58,59.97,19.37,21.06,18,11,11,9,23.9,0.88,0.86,High
7_109198_POL2019_1469116500_0002,7,13HGBH41JXMN109198,7/21/2016 15:55,7/21/2016 16:15,43.782308,-91.026111,Afternoon,20.25,24.9,94.57,73.78,13.29,32.38,19,9,13,8,35.67,0.75,0.87,High
7_109198_POL2019_1459932360_0003,7,13HGBH41JXMN109198,4/6/2016 8:46,4/6/2016 8:56,25.334219,-79.844747,Morning,10.22,11.24,102.39,65.98,15.58,37.92,12,7,5,5,22.59,0.92,0.95,High
7_109198_POL2021_1556973480_0004,7,13HGBH41JXMN109198,5/4/2019 12:38,5/4/2019 12:48,37.868291,-97.969446,Afternoon,10.61,10.12,108.7,57.23,6.62,16.55,18,15,10,9,35.25,0.93,0.88,High
7_109198_POL2021_1549621620_0005,7,13HGBH41JXMN109198,2/8/2019 10:27,2/8/2019 11:16,47.43412,-71.194726,Morning,49.03,57.11,99.66,69.89,13.61,29.84,10,18,8,8,49.25,0.73,0.74,High
7_109198_POL2021_1544961360_0006,7,13HGBH41JXMN109198,12/16/2018 11:56,12/16/2018 12:50,26.614937,-122.758738,Morning,54.02,62.92,92.26,69.89,5.89,18.95,11,14,10,7,42.13,0.76,0.84,High
7_109199_POL2020_1500058620_0001,7,14HGBH41JXMN109199,7/14/2017 18:57,7/14/2017 19:46,27.519357,-111.996422,Evening,49.41,52.42,105.39,63.65,10.28,37.28,10,15,13,15,32.9,0.76,0.9,High
7_109199_POL2020_1499696100_0002,7,14HGBH41JXMN109199,7/10/2017 14:15,7/10/2017 14:23,25.984246,-115.082124,Afternoon,8.76,8.22,107.42,56.28,2.69,33.49,19,18,11,9,32.49,0.94,0.95,High
8_109200_POL2022_1481701740_0001,8,15HGBH41JXMN109200,12/14/2016 7:49,12/14/2016 8:26,30.145144,-85.330745,Morning,37.72,29.99,73.07,47.71,15.77,12.87,8,7,5,3,74.02,0.55,0.55,Medium
8_109200_POL2022_1483967760_0002,8,15HGBH41JXMN109200,1/9/2017 13:16,1/9/2017 13:23,34.360276,-91.35921,Afternoon,7.92,7.74,76.84,58.62,6.41,14.16,6,4,3,5,71.11,0.59,0.4,Medium
8_109200_POL2022_1479702120_0003,8,15HGBH41JXMN109200,11/21/2016 4:22,11/21/2016 5:01,41.245291,-98.009633,Night,39.93,32.7,68.02,49.13,0.2,13.76,7,6,3,5,56.83,0.5,0.52,Medium
8_109200_POL2024_1578450600_0004,8,15HGBH41JXMN109200,1/8/2020 2:30,1/8/2020 3:09,45.56775,-85.292696,Night,39.71,32.87,66.03,49.67,4.23,8.59,3,3,5,2,62.99,0.49,0.59,Medium
8_109200_POL2024_1564629000_0005,8,15HGBH41JXMN109200,8/1/2019 3:10,8/1/2019 3:57,25.634029,-89.785605,Night,47.38,47.09,78.61,59.63,13.09,7.9,5,5,2,4,70.83,0.37,0.46,Medium
8_109200_POL2024_1573099620_0006,8,15HGBH41JXMN109200,11/7/2019 4:07,11/7/2019 4:59,39.659921,-80.180827,Night,52.43,44.64,69.4,51.08,2.91,7.37,8,7,5,6,55.02,0.62,0.53,Medium
8_109201_POL2023_1505516160_0001,8,16HGBH41JXMN109201,9/15/2017 22:56,9/15/2017 23:54,38.3608,-84.446027,Night,58.02,46.47,76.43,48.06,4.65,14.78,8,3,6,6,65.25,0.57,0.48,Medium
8_109201_POL2023_1521504000_0002,8,16HGBH41JXMN109201,3/20/2018 0:00,3/20/2018 0:32,38.264243,-86.707764,Night,32.41,27.53,66.2,50.97,7.26,11.56,3,2,5,6,62.09,0.46,0.44,Medium
8_109201_POL2023_1505760420_0003,8,16HGBH41JXMN109201,9/18/2017 18:47,9/18/2017 19:13,26.481064,-97.223455,Evening,26.04,20.29,69.16,46.74,3.92,10.01,4,2,5,4,60.74,0.35,0.37,Medium
8_109201_POL2023_1508380440_0004,8,16HGBH41JXMN109201,10/19/2017 2:34,10/19/2017 2:42,31.063992,-114.374121,Night,8.33,7.81,72.87,56.25,16.2,10.23,7,4,4,3,55.32,0.64,0.52,Medium
8_109201_POL2023_1492812120_0005,8,16HGBH41JXMN109201,4/21/2017 22:02,4/21/2017 22:52,32.125429,-109.353988,Night,50.78,41.55,69.87,49.1,17.59,13.27,7,4,6,6,58.31,0.52,0.47,Medium
9_109202_POL2025_1428990060_0001,9,17HGBH41JXMN109202,4/14/2015 5:41,4/14/2015 6:31,32.276989,-120.326891,Morning,50,33.98,48.05,40.78,2.28,0.23,3,2,0,2,92.93,0.21,0.15,Low
9_109202_POL2025_1444696740_0002,9,17HGBH41JXMN109202,10/13/2015 0:39,10/13/2015 1:38,34.828243,-90.885267,Night,59.55,33.52,58.93,33.77,12.42,4.7,3,2,0,0,83.89,0.22,0.13,Low
9_109202_POL2027_1542427560_0003,9,17HGBH41JXMN109202,11/17/2018 4:06,11/17/2018 4:26,47.012482,-88.742749,Night,20.33,16.93,57.18,49.98,2.38,4.37,1,1,1,2,84.13,0.28,0.2,Low
9_109202_POL2027_1519432680_0004,9,17HGBH41JXMN109202,2/24/2018 0:38,2/24/2018 1:29,43.389273,-88.102034,Night,51.97,35.33,60.15,40.79,1.34,1.64,3,0,1,1,95.39,0.2,0.21,Low
9_109203_POL2026_1462511940_0001,9,18HGBH41JXMN109203,5/6/2016 5:19,5/6/2016 6:13,31.611496,-79.508889,Morning,54.69,44.65,46.69,48.98,19.26,0.46,2,2,0,0,88.94,0.21,0.25,Low
9_109203_POL2026_1460511060_0002,9,18HGBH41JXMN109203,4/13/2016 1:31,4/13/2016 2:20,42.656398,-87.054991,Night,49.23,34.05,55.22,41.5,1.67,4.31,0,2,0,1,94.6,0.13,0.22,Low
9_109203_POL2026_1476456300_0003,9,18HGBH41JXMN109203,10/14/2016 14:45,10/14/2016 15:03,34.712262,-69.221538,Afternoon,18.77,12.07,52.94,38.58,16.08,3.31,2,0,0,0,92.32,0.19,0.24,Low
10_109204_POL2028_1493984880_0001,10,19HGBH41JXMN109204,5/5/2017 11:48,5/5/2017 12:10,31.07102,-68.740311,Morning,22.59,21.68,81.61,57.58,15.33,22.2,15,12,14,6,22.95,0.72,0.88,High
10_109204_POL2028_1506485400_0002,10,19HGBH41JXMN109204,9/27/2017 4:10,9/27/2017 4:45,35.208454,-77.145221,Night,35.87,43.8,100.32,73.27,3.41,28.17,17,15,8,11,25.78,0.74,0.82,High
10_109204_POL2028_1497046380_0003,10,19HGBH41JXMN109204,6/9/2017 22:13,6/9/2017 22:24,42.296602,-81.990728,Night,11.92,14.68,102.61,73.89,10.7,25.45,15,9,15,7,34.64,0.74,0.92,High
10_109204_POL2028_1501764600_0004,10,19HGBH41JXMN109204,8/3/2017 12:50,8/3/2017 13:43,29.777601,-85.612853,Afternoon,53.28,60.14,81.94,67.72,17.53,16.96,18,6,11,6,42.22,0.7,0.91,High
4_109192_POL4039_1730487600_0020,4,7HGBH41JXMN109192,11/1/2024 19:00,11/1/2024 19:55,29.845454,-92.407051,Evening,55.17,56.49,94.84,61.44,10.83,15.64,17,14,8,7,24.27,0.85,0.86,High
4_109192_POL4039_1733716740_0021,4,7HGBH41JXMN109192,12/9/2024 3:59,12/9/2024 4:15,45.059057,-112.403219,Night,16.65,16.3,83.54,58.74,9.28,15.71,15,17,12,8,23.26,0.91,0.8,High
4_109192_POL4039_1729171740_0022,4,7HGBH41JXMN109192,10/17/2024 13:29,10/17/2024 14:02,43.723012,-103.006017,Afternoon,33.6,33.57,95.19,59.94,9.86,29.56,9,11,9,12,28.19,0.9,0.86,High
4_109193_POL2011_1489387440_0001,4,8HGBH41JXMN109193,3/13/2017 6:44,3/13/2017 7:06,25.405518,-91.264488,Morning,22.06,24.29,94.12,66.07,9.14,16.49,9,14,11,13,20.12,0.84,0.7,High
4_109193_POL2011_1471759440_0002,4,8HGBH41JXMN109193,8/21/2016 6:04,8/21/2016 6:55,36.130557,-83.86098,Morning,51.66,50.39,107.49,58.53,19.68,32.3,14,18,13,7,49.39,0.73,0.85,High
4_109193_POL2011_1482834840_0003,4,8HGBH41JXMN109193,12/27/2016 10:34,12/27/2016 11:25,32.035959,-73.540272,Morning,51,59.35,91.2,69.82,13.77,26.97,17,16,5,10,21.25,0.76,0.79,High
4_109193_POL2011_1493617560_0004,4,8HGBH41JXMN109193,5/1/2017 5:46,5/1/2017 6:37,25.889721,-119.093427,Morning,51.58,51.13,86.7,59.48,7.71,25.99,19,15,8,14,34.92,0.88,0.86,High
4_109193_POL2011_1475677500_0005,4,8HGBH41JXMN109193,10/5/2016 14:25,10/5/2016 14:50,39.560731,-76.887658,Afternoon,25.09,24.44,87.02,58.44,14.61,35.03,10,10,12,11,24.02,0.88,0.85,High
4_109193_POL4032_1514413020_0006,4,8HGBH41JXMN109193,12/27/2017 22:17,12/27/2017 22:46,27.211999,-109.392063,Night,29.9,28.09,108.61,56.36,4.01,18.74,12,6,13,15,25.49,0.77,0.82,High
4_109193_POL4032_1491131340_0007,4,8HGBH41JXMN109193,4/2/2017 11:09,4/2/2017 11:17,30.037195,-65.945298,Morning,8.67,9.81,92.5,67.88,19.74,25.3,14,13,8,9,24.72,0.76,0.95,High
4_109193_POL4032_1505969520_0008,4,8HGBH41JXMN109193,9/21/2017 4:52,9/21/2017 5:33,27.946363,-70.482319,Night,41.11,44.76,85.05,65.32,16.8,26.78,16,11,8,7,27.93,0.84,0.75,High
4_109193_POL4034_1565311200_0009,4,8HGBH41JXMN109193,8/9/2019 0:40,8/9/2019 1:05,27.360707,-73.170477,Night,25.76,32.19,80.43,74.98,8.7,33.12,14,16,13,13,26.9,0.86,0.85,High
4_109193_POL4034_1571674980_0010,4,8HGBH41JXMN109193,10/21/2019 16:23,10/21/2019 16:38,43.140942,-79.813723,Afternoon,15.92,16.68,83.28,62.88,14.9,33.6,17,10,8,6,36.26,0.86,0.71,High
4_109193_POL4034_1553788800_0011,4,8HGBH41JXMN109193,3/28/2019 16:00,3/28/2019 16:56,39.942734,-112.953022,Afternoon,56.83,57.72,88.86,60.94,10.66,28.99,13,16,8,14,21.01,0.9,0.93,High
4_109193_POL4034_1569109680_0012,4,8HGBH41JXMN109193,9/21/2019 23:48,9/22/2019 0:21,36.618916,-89.079948,Night,33.33,33.42,109.19,60.16,18.7,30.95,18,8,7,14,24.18,0.8,0.94,High
4_109193_POL4036_1637853060_0013,4,8HGBH41JXMN109193,11/25/2021 15:11,11/25/2021 15:25,37.159041,-120.176304,Afternoon,14.03,14.98,91.77,64.08,13.57,31.29,17,16,6,11,35.56,0.94,0.93,High
4_109193_POL4036_1616504820_0014,4,8HGBH41JXMN109193,3/23/2021 13:07,3/23/2021 13:53,27.012313,-86.535107,Afternoon,46.09,57.41,92.89,74.73,4.22,17.46,8,11,5,7,40.46,0.72,0.77,High
4_109193_POL4036_1611146760_0015,4,8HGBH41JXMN109193,1/20/2021 12:46,1/20/2021 13:45,28.525013,-109.933639,Afternoon,59.84,63.62,88.5,63.79,13.23,37.28,20,18,5,7,49.57,0.85,0.83,High
4_109193_POL4036_1631177820_0016,4,8HGBH41JXMN109193,9/9/2021 8:57,9/9/2021 9:12,27.630226,-110.264928,Morning,15.51,16.24,94.81,62.83,8.16,20.52,8,6,8,7,31.08,0.84,0.78,High
